Prepared on Mon Aug 21 22:02:00 CDT 2023......

===== Hardware Management Consoles(Tenneco) =====

  * [[unix:hmc:cr_cfg_power:cdcvilhmc001:list|cdcvilhmc001]]
  * [[unix:hmc:cr_cfg_power:cdcvilhmc001.fmmotorparts.com:list|cdcvilhmc001.fmmotorparts.com]]
  * [[unix:hmc:cr_cfg_power:cdcvilhmc003:list|cdcvilhmc003]]
  * [[unix:hmc:cr_cfg_power:phlypahmc005:list|phlypahmc005]]
  * [[unix:hmc:cr_cfg_power:phlypahmc007:list|phlypahmc007]]


^HMC^Frame^Model^Serial No^Total CPU^Free CPU^Total Memory^Free Memory^
|cdcvilhmc001 cdcvilhmc001.fmmotorparts.com |MONVIO1-8284-22A-SN21FB70V|8284-22A|21FB70V|HSCL9010 This operation is only allowed when the managed system is in the Standby or Operating state.||0|0|
|cdcvilhmc001 cdcvilhmc001.fmmotorparts.com |SAS-STR-8231-E1D-SN849E58V|8231-E1D|849E58V|4.0|0.0|32768|64|
|cdcvilhmc003 |Powervm39-9040-MR9-78AAE8X|9040-MR9|78AAE8X|48.0|12.8|2097152|1213952|
|cdcvilhmc003 |Powervm40-9040-MR9-78AAE7X|9040-MR9|78AAE7X|48.0|12.7|2097152|1291264|
|cdcvilhmc003 |Powervm41-9009-42A-7823D40|9009-42A|7823D40|24.0|1.3|1048576|392192|
|cdcvilhmc003 |Powervm42-9009-42A-7823D50|9009-42A|7823D50|24.0|0.7|1048576|348416|
|cdcvilhmc003 |Powervm43-9009-42A-7823D30|9009-42A|7823D30|24.0|1.0|1048576|343040|
|cdcvilhmc003 |Powervm44-9009-42A-7823D20|9009-42A|7823D20|24.0|9.6|1048576|783360|
|phlypahmc005 |PHPVM009-8284-22A-21AA63W|8284-22A|21AA63W|16.0|12.0|524288|491520|
|phlypahmc005 |PHPVM010-8284-22A-21AA5CW|8284-22A|21AA5CW|16.0|8.4|524288|331520|
|phlypahmc005 |PHPVM011-8284-22A-21AA5FW|8284-22A|21AA5FW|16.0|13.0|524288|497408|
|phlypahmc005 |PHPVM012-8284-22A-21AA5DW|8284-22A|21AA5DW|16.0|6.9|524288|356608|
|phlypahmc005 |PHPVM013-8284-22A-21AA5EW|8284-22A|21AA5EW|16.0|12.0|524288|484864|
|phlypahmc005 |PHPVM014-8284-22A-21AA60W|8284-22A|21AA60W|16.0|6.2|524288|370944|
|phlypahmc005 |PHPVM015-8284-22A-21AA62W|8284-22A|21AA62W|16.0|7.5|524288|426752|
|phlypahmc005 |PHPVM016-8284-22A-21CE1AW|8284-22A|21CE1AW|16.0|6.0|524288|318976|
|phlypahmc005 |PHPVM017-8284-22A-21CE1BW|8284-22A|21CE1BW|16.0|5.9|524288|254208|
|phlypahmc005 |PHPVM018-8284-22A-21CE1CW|8284-22A|21CE1CW|16.0|2.0|524288|20992|
|phlypahmc007 |PHPVM021-9009-22A-78290A0|9009-22A|78290A0|16.0|16.0|2097152|2090240|
|phlypahmc007 |PHPVM022-9040-MR9-78AAECX|9040-MR9|78AAECX|48.0|9.6|2097152|1005568|
