^Country^City            ^Device Type  ^Manufacturer^Model       ^Serial No     ^Local IT contacts                             ^Install date^Maint. Upto^Support  ^Support - Phone^Support Email / Web                ^Contract No:                 ^Other details                        ^
|USA    |Lincolnshire    |Storage array|IBM         |IBM V9000   |78BD160       |Kapilraj Koroth/Chris Stachowiak/Robert Bieniek|10/13/2015 |10/12/2020 |IBM      |+1-800-426-7378|http://www.ibm.com/support         |                             |machine type 9848. Cust. No : 0760643|
|USA    |Lincolnshire    |FC switch    |Brocade     |Silkworm6510|BRW2539G00D   |Kapilraj Koroth/Chris Stachowiak/Robert Bieniek|12/27/2012 |12/31/2018 |Brocade  |+1-800-752-8061|https://login.brocade.com/         |                             |                                     |
|USA    |Lincolnshire    |FC switch    |Brocade     |Silkworm6510|BRW2539G00B   |Kapilraj Koroth/Chris Stachowiak/Robert Bieniek|12/27/2012 |12/31/2018 |Brocade  |+1-800-752-8061|https://login.brocade.com/         |                             |                                     |
|USA    |CDC             |Storage array|PURE        |Pure M70    |4003B         |Kapilraj Koroth/Chris Stachowiak/Robert Bieniek|08/14/2017 |08/13/2020 |PURE     |+1-866-244-7121|https://support.purestorage.com    |                             |                                     |
|USA    |Sterling Forest |Storage array|PURE        |Pure M20    |70032         |Kapilraj Koroth/Marek Organa                   |08/14/2017 |08/13/2020 |PURE     |+1-866-244-7121|https://support.purestorage.com    |                             |                                     |
|Belgium|Interexion      |Storage array|PURE        |Pure M20    |60018         |Ward Timmermans/Joel Schoofs                   |10/19/2016 |10/20/2019 |PURE     |+1-866-244-7121|https://support.purestorage.com    |                             |                                     |
|Belgium|Interexion      |FC switch    |EMC         |ds5300b     |BRCAHX1924F00T|Ward Timmermans/Joel Schoofs                   |09/01/2016 |08/31/2019 |IBM      |+32 2339 3611  |http://www.ibm.com/support         |Customer Number : 0032347    |                                     |
|Belgium|Interexion      |FC switch    |EMC         |ds5300b     |BRCAHX0617F03L|Ward Timmermans/Joel Schoofs                   |09/01/2016 |08/31/2019 |IBM      |+32 2339 3611  |http://www.ibm.com/support         |Customer Number : 0032347    |                                     |
|Germany|Edenkoben       |Storage array|EMC         |VNX5400     |CKM00153301551|Horst Adler / Klaus Dehm /Rene Buettner        |09/21/2015 |10/20/2019 |EMC      |+1-800-782-4362|http://support.emc.com             |                             |                                     |
|Germany|Edenkoben       |FC switch    |EMC         |DS6510      |BRCBRW1910K048|Horst Adler / Klaus Dehm /Rene Buettner        |09/21/2015 |10/20/2019 |EMC      |+1-800-782-4362|http://support.emc.com             |                             |                                     |
|Germany|Edenkoben       |FC switch    |EMC         |DS6510      |BRCBRW1943K00M|Horst Adler / Klaus Dehm /Rene Buettner        |09/21/2015 |10/20/2019 |EMC      |+1-800-782-4362|http://support.emc.com             |                             |                                     |
|Belgium|St Truiden      |FC switch    |EMC         |DS300B      |BRCALJ1950G0NP|Ward Timmermans / Kim Jacobs / Niels Elsen     |03/01/2012 |03/30/2019 |Curvature|+1-877-405-0330|http://www.mysplogon.com           |                             |                                     |
|Belgium|St Truiden      |FC switch    |EMC         |DS300B      |BRCALJ1950G0P0|Ward Timmermans / Kim Jacobs / Niels Elsen     |03/01/2012 |03/30/2019 |Curvature|+1-877-405-0330|http://www.mysplogon.com           |                             |                                     |
|Belgium|St Truiden      |Storage array|EMC         |VNX5300     |CKM00115100018|Ward Timmermans / Kim Jacobs / Niels Elsen     |03/01/2012 |03/30/2019 |Curvature|+1-877-405-0330|http://www.mysplogon.com           |                             |                                     |
|USA    |Seward          |Storage array|PURE        |Pure M20    |520030        |Dave Luong / Norman Porter                     |03/09/2017 |03/08/2020 |PURE     |+1-866-244-7121|https://support.purestorage.com    |                             |                                     |
|USA    |Seward          |FC switch    |EMC         |DS300       |ALJ0652E004   |Dave Luong / Norman Porter                     |07/07/2010 |12/31/2018 |Brocade  |+1-800-752-8061|https://login.brocade.com/         |                             |                                     |
|USA    |Seward          |FC switch    |EMC         |DS300       |ALJ0652E008   |Dave Luong / Norman Porter                     |07/07/2010 |12/31/2018 |Brocade  |+1-800-752-8061|https://login.brocade.com/         |                             |                                     |
|USA    |Monroe          |Storage array|EMC         |VNX5300     |APM00121101629|Dawn James,Vince Wolfenberger,Martin Church    |05/06/2012 |05/06/2019 |EMC      |+1-800-782-4362|http://support.emc.com             |                             |                                     |
|USA    |Monroe          |FC switch    |EMC         |DS300       |BRCALJ2519G01S|Dawn James,Vince Wolfenberger,Martin Church    |05/06/2012 |05/06/2019 |EMC      |+1-800-782-4362|http://support.emc.com             |                             |                                     |
|USA    |Monroe          |FC switch    |EMC         |DS300       |BRCALJ1930G0G0|Dawn James,Vince Wolfenberger,Martin Church    |05/06/2012 |05/06/2019 |EMC      |+1-800-782-4362|http://support.emc.com             |                             |                                     |
|USA    |Grass Lake      |Storage array|EMC         |VNX5400     |APM00143204078|Terral Artis                                   |11/18/2014 |09/19/2019 |EMC      |+1-800-782-4362|http://support.emc.com             |                             |                                     |
|USA    |Grass Lake      |FC switch    |EMC         |DS300B      |BRCALJ2549J0SS|Terral Artis                                   |11/18/2014 |09/19/2019 |EMC      |+1-800-782-4362|http://support.emc.com             |                             |                                     |
|USA    |Grass Lake      |FC switch    |EMC         |DS300B      |BRCALJ2531J0PM|Terral Artis                                   |11/18/2014 |09/19/2019 |EMC      |+1-800-782-4362|http://support.emc.com             |                             |                                     |
|Poland |Rybnik          |Storage array|EMC         |VNX5400     |CKM00143401481|Damian Gamon/ Jakub Kurowski                   |12/25/2014 |10/26/2019 |EMC      |+1-800-782-4362|http://support.emc.com             |                             |                                     |
|Poland |Rybnik          |FC switch    |EMC         |DS300B      |BRCALJ1936K0BN|Damian Gamon/ Jakub Kurowski                   |12/25/2014 |10/25/2019 |EMC      |+1-800-782-4362|http://support.emc.com             |                             |                                     |
|Poland |Rybnik          |FC switch    |EMC         |DS300B      |BRCALJ1936K0BL|Damian Gamon/ Jakub Kurowski                   |12/25/2014 |10/25/2019 |EMC      |+1-800-782-4362|http://support.emc.com             |                             |                                     |
|Poland |Gliwice         |Storage array|EMC         |VNX5400     |CKM00153902216|Pawel Tkaczyk                                  |02/22/2019 |12/26/2019 |EMC      |+1-800-782-4362|http://support.emc.com             |                             |                                     |
|Poland |Gliwice         |FC switch    |EMC         |DS300B      |BRCALJ1935L008|Pawel Tkaczyk                                  |02/22/2016 |02/21/2019 |EMC      |+1-800-782-4362|http://support.emc.com             |                             |                                     |
|Poland |Gliwice         |FC switch    |EMC         |DS300B      |BRCALJ1928L0CG|Pawel Tkaczyk                                  |02/22/2016 |02/21/2019 |EMC      |+1-800-782-4362|http://support.emc.com             |                             |                                     |
