====== AIX Disaster Recovery Server Operating System Level  Documentation ======

Prepared on Thu Jul  3 16:08:29 CDT 2014

^Server Name^OS^Operating System Level^Microcode Level^Allocated^Free^Used^% Free^Model^Serial^Type^MHz^# Proc^Memory^OV Rel^App^Description^Location^
|teprbk01|AIX|7100-03-02-1412|AM730_066|9869|338|9531|3%| IBM,9179-MHB|06E6B85| PowerPC_POWER7| 3864 MHz|4| 8192 MB|11.05.005|EU-Netbackup |EU Backup Server |Lincolnshire |
|peerap03|AIX|7100-02-02-1316|EA350_149|55|37|17|67%| IBM,7998-61X|0614BDA| PowerPC_POWER6| 4005 MHz|4| 31616 MB|11.05.005|TA2 |TA2 ERP App Server#3 - Production |Lincolnshire |
|peerap04|AIX|7100-02-02-1316|EA350_149|59|42|17|71%| IBM,7998-61X|0614C1A| PowerPC_POWER6| 4005 MHz|4| 31616 MB|11.05.005|TA2 |TA2 ERP App Server#4 - Production |Lincolnshire |
|peerap05|AIX|7100-02-02-1316|EA350_149|52|37|14|71%| IBM,7998-61X|0614BBA| PowerPC_POWER6| 4005 MHz|4| 31616 MB|11.05.005|TA2 |TA2 ERP App Server#5 |Lincolnshire |
|peerap06|AIX|7100-02-02-1316|EA350_149|47|33|13|71%| IBM,7998-61X|0614C2A| PowerPC_POWER6| 4005 MHz|4| 31616 MB|11.05.005|TA2 |TA2 ERP App Server#6 - Production |Lincolnshire |
|peerap07|AIX|7100-02-02-1316|EA350_149|52|39|13|74%| IBM,7998-61X|068CC5A| PowerPC_POWER6| 4005 MHz|4| 31616 MB|11.05.005|TA2 |TA2 ERP App Server#7 |Lincolnshire |
|peerap08|AIX|7100-02-02-1316|EA350_149|52|38|13|73%| IBM,7998-61X|068CC6A| PowerPC_POWER6| 4005 MHz|4| 31616 MB|11.05.005|TA2 |TA2 ERP App Server#8 - Production |Lincolnshire |
|peerap09|AIX|7100-02-02-1316|EA350_149|50|38|12|75%| IBM,7998-61X|102E82A| PowerPC_POWER6| 4005 MHz|4| 31744 MB|11.05.005|TA2 |TA2 ERP App Server#9 - Production |Lincolnshire |
|paft3p01|AIX|5300-12-01-1016|EL320_076|58|38|20|65%| IBM,8203-E4A|06C17A2| PowerPC_POWER6| 4204 MHz|1| 1760 MB|11.05.005|PFTP |PTA Gentran Primary FTP Server |Lincolnshire |
|paap3p01|AIX|7100-02-02-1316|EM350_149|464|212|252|45%| IBM,9117-MMA|109F3A0| PowerPC_POWER6| 4704 MHz|4| 6144 MB|11.05.005|PUJM |PTA Gentran/Autosys/CDirect App/DB/App Server Prod |Lincolnshire |
|pagi3p01|AIX|6100-07-05-1228|AM730_066|384|98|286|25%| IBM,9179-MHB|06E6B85| PowerPC_POWER7| 3864 MHz|4| 8192 MB|11.05.005|PSBI |GIS EDI App Server |Lincolnshire |
|pahydb01|AIX|7100-03-02-1412|AL730_087|214|130|84|60%| IBM,8205-E6B|1048EEP| PowerPC_POWER7| 3720 MHz|6| 24576 MB|11.05.005|PHYP |Hyperion DB Server Production |Lincolnshire |
|peardb01|AIX|6100-02-03-0909|EM350_143|232|171|60|73%| IBM,9117-MMA|109F390| PowerPC_POWER6| 4704 MHz|2| Not Available|11.05.005|PFNET,PESO |TA2-FileNet Archiving Server Production |Lincolnshire |
|pggtdb01|AIX|7100-02-02-1316|AL770_052|1467|229|1237|15%| IBM,8205-E6D|108CCAT| PowerPC_POWER7| 4228 MHz|6| 61440 MB|11.05.005|PGT |GTS DB Server |Lincolnshire |
|TEPR2E01|AIX|7100-02-02-1316|EM350_149|409|116|293|28%| IBM,9117-MMA|109F3A0| PowerPC_POWER6| 4704 MHz|4| 12288 MB|11.05.005|EUPUJM |TA2 Gentran+EU Autosys DB Server |Lincolnshire |
|pgasdb01|AIX|7100-03-02-1412|AL740_077|297|230|66|77%| IBM,8205-E6C|102D67R| PowerPC_POWER7| 3550 MHz|4| 24576 MB|11.05.005|PAS Production Adobe Print Services | ADS production SAP system, part of QIM landscape |Lincolnshire |
|pgscdb01|AIX|7100-03-02-1412|AM730_066|822|199|622|24%| IBM,9179-MHB|06E6B85| PowerPC_POWER7| 3864 MHz|6| 32768 MB|11.05.005|PSC |EWM SAP DB Server |Lincolnshire |
